 ,product_name,product_price,product_link,product_ram
11,"apple iphone 13 (green, 256 gb)","₹62,999",https://www.flipkart.com/apple-iphone-13-green-256-gb/p/itm14914e5e84473?pid=MOBGC9VGPXQNTXDW&lid=LSTMOBGC9VGPXQNTXDWMOPMCI&marketplace=FLIPKART&q=iphone+13+128+GB+4+GB&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=59706d20-b148-40ec-a8ea-84e0c3ef3f16.MOBGC9VGPXQNTXDW.SEARCH&ppt=None&ppn=None&ssid=psg8ucetz40000001719166179092&qH=817463f805dcb246,256 gb rom15.49 cm (6.1 inch) super retina xdr display12mp + 12mp | 12mp front cameraa15 bionic chip processorbrand warranty for 1 year
12,"apple iphone 13 (pink, 512 gb)","₹82,999",https://www.flipkart.com/apple-iphone-13-pink-512-gb/p/itm3762edcc79946?pid=MOBG6VF5AS6QUQWX&lid=LSTMOBG6VF5AS6QUQWXLFAERA&marketplace=FLIPKART&q=iphone+13+128+GB+4+GB&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=59706d20-b148-40ec-a8ea-84e0c3ef3f16.MOBG6VF5AS6QUQWX.SEARCH&ppt=None&ppn=None&ssid=psg8ucetz40000001719166179092&qH=817463f805dcb246,512 gb rom15.49 cm (6.1 inch) super retina xdr display12mp + 12mp | 12mp front cameraa15 bionic chip processorbrand warranty for 1 year
13,"apple iphone 13 (green, 512 gb)","₹82,999",https://www.flipkart.com/apple-iphone-13-green-512-gb/p/itmdd397c451bdae?pid=MOBGC9VGEZQUXGW5&lid=LSTMOBGC9VGEZQUXGW5GINKRW&marketplace=FLIPKART&q=iphone+13+128+GB+4+GB&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=59706d20-b148-40ec-a8ea-84e0c3ef3f16.MOBGC9VGEZQUXGW5.SEARCH&ppt=None&ppn=None&ssid=psg8ucetz40000001719166179092&qH=817463f805dcb246,512 gb rom15.49 cm (6.1 inch) super retina xdr display12mp + 12mp | 12mp front cameraa15 bionic chip processorbrand warranty for 1 year
14,"apple iphone 13 ((product)red, 512 gb)","₹82,999",https://www.flipkart.com/apple-iphone-13-product-red-512-gb/p/itmf3f96f20817ae?pid=MOBG6VF56S584SAP&lid=LSTMOBG6VF56S584SAPGZ8HCU&marketplace=FLIPKART&q=iphone+13+128+GB+4+GB&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=59706d20-b148-40ec-a8ea-84e0c3ef3f16.MOBG6VF56S584SAP.SEARCH&ppt=None&ppn=None&ssid=psg8ucetz40000001719166179092&qH=817463f805dcb246,512 gb rom15.49 cm (6.1 inch) super retina xdr display12mp + 12mp | 12mp front cameraa15 bionic chip processorbrand warranty for 1 year
15,"apple iphone 13 (midnight, 512 gb)","₹82,999",https://www.flipkart.com/apple-iphone-13-midnight-512-gb/p/itm7d60d2e9ffd7c?pid=MOBG6VF5GXHZMYMH&lid=LSTMOBG6VF5GXHZMYMHZHPU4Z&marketplace=FLIPKART&q=iphone+13+128+GB+4+GB&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=59706d20-b148-40ec-a8ea-84e0c3ef3f16.MOBG6VF5GXHZMYMH.SEARCH&ppt=None&ppn=None&ssid=psg8ucetz40000001719166179092&qH=817463f805dcb246,512 gb rom15.49 cm (6.1 inch) super retina xdr display12mp + 12mp | 12mp front cameraa15 bionic chip processorbrand warranty for 1 year
16,"apple iphone 13 (starlight, 512 gb)","₹82,999",https://www.flipkart.com/apple-iphone-13-starlight-512-gb/p/itm1d663e7a79e95?pid=MOBG6VF5G3NJDHJ2&lid=LSTMOBG6VF5G3NJDHJ2HEG9A3&marketplace=FLIPKART&q=iphone+13+128+GB+4+GB&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=59706d20-b148-40ec-a8ea-84e0c3ef3f16.MOBG6VF5G3NJDHJ2.SEARCH&ppt=None&ppn=None&ssid=psg8ucetz40000001719166179092&qH=817463f805dcb246,512 gb rom15.49 cm (6.1 inch) super retina xdr display12mp + 12mp | 12mp front cameraa15 bionic chip processorbrand warranty for 1 year
17,"apple iphone 13 (blue, 512 gb)","₹82,999",https://www.flipkart.com/apple-iphone-13-blue-512-gb/p/itma26798ee418a6?pid=MOBG6VF5CBZ6EPF2&lid=LSTMOBG6VF5CBZ6EPF2I3GRC9&marketplace=FLIPKART&q=iphone+13+128+GB+4+GB&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=59706d20-b148-40ec-a8ea-84e0c3ef3f16.MOBG6VF5CBZ6EPF2.SEARCH&ppt=None&ppn=None&ssid=psg8ucetz40000001719166179092&qH=817463f805dcb246,512 gb rom15.49 cm (6.1 inch) super retina xdr display12mp + 12mp | 12mp front cameraa15 bionic chip processorbrand warranty for 1 year
18,"apple iphone 13 ((product)red, 128 gb)","₹52,999",https://www.flipkart.com/apple-iphone-13-product-red-128-gb/p/itm99b5658d148b0?pid=MOBG6VF59ZFEPEBX&lid=LSTMOBG6VF59ZFEPEBXLWTMMU&marketplace=FLIPKART&q=iphone+13+128+GB+4+GB&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=59706d20-b148-40ec-a8ea-84e0c3ef3f16.MOBG6VF59ZFEPEBX.SEARCH&ppt=None&ppn=None&ssid=psg8ucetz40000001719166179092&qH=817463f805dcb246,128 gb rom15.49 cm (6.1 inch) super retina xdr display12mp + 12mp | 12mp front cameraa15 bionic chip processorbrand warranty for 1 year
19,"apple iphone 13 pro max (graphite, 128 gb)","₹1,29,900",https://www.flipkart.com/apple-iphone-13-pro-max-graphite-128-gb/p/itmbb4eb09bb8e02?pid=MOBG6VF5TBYYFCW4&lid=LSTMOBG6VF5TBYYFCW4LGNPOK&marketplace=FLIPKART&q=iphone+13+128+GB+4+GB&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=59706d20-b148-40ec-a8ea-84e0c3ef3f16.MOBG6VF5TBYYFCW4.SEARCH&ppt=None&ppn=None&ssid=psg8ucetz40000001719166179092&qH=817463f805dcb246,128 gb rom17.02 cm (6.7 inch) super retina xdr display12mp + 12mp + 12mp | 12mp front cameraa15 bionic chip processorbrand warranty for 1 year
20,"apple iphone 13 mini (pink, 128 gb)","₹64,900",https://www.flipkart.com/apple-iphone-13-mini-pink-128-gb/p/itm32f5a6b2a4ea3?pid=MOBG6VF5GK7Y9AJ8&lid=LSTMOBG6VF5GK7Y9AJ8NLP6VA&marketplace=FLIPKART&q=iphone+13+128+GB+4+GB&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=59706d20-b148-40ec-a8ea-84e0c3ef3f16.MOBG6VF5GK7Y9AJ8.SEARCH&ppt=None&ppn=None&ssid=psg8ucetz40000001719166179092&qH=817463f805dcb246,128 gb rom13.72 cm (5.4 inch) super retina xdr display12mp + 12mp | 12mp front cameraa15 bionic chip processorbrand warranty for 1 year
